state,city,drug_name,drug_count,latitude,longitude,name
NY,NEW YORK,AMLODIPINE BESYLATE,3120,43.299428000000006,-74.217933,New York
TX,HOUSTON,HYDROCODONE-ACETAMINOPHEN,3062,31.968598999999998,-99.901813,Texas
IL,CHICAGO,HYDROCODONE-ACETAMINOPHEN,2848,40.633125,-89.398528,Illinois
CA,LOS ANGELES,HYDROCODONE-ACETAMINOPHEN,2272,36.778261,-119.41793200000001,California
PA,PHILADELPHIA,LISINOPRIL,1961,41.203322,-77.194525,Pennsylvania
IN,INDIANAPOLIS,HYDROCODONE-ACETAMINOPHEN,1873,40.551217,-85.602364,Indiana
MA,BOSTON,OMEPRAZOLE,1618,42.407211,-71.382437,Massachusetts
OR,PORTLAND,HYDROCODONE-ACETAMINOPHEN,1518,43.804133,-120.554201,Oregon
NV,LAS VEGAS,HYDROCODONE-ACETAMINOPHEN,1510,38.802609999999994,-116.419389,Nevada
AZ,PHOENIX,HYDROCODONE-ACETAMINOPHEN,1483,34.048928000000004,-111.093731,Arizona
MD,BALTIMORE,LISINOPRIL,1458,39.045755,-76.641271,Maryland
KY,LOUISVILLE,HYDROCODONE-ACETAMINOPHEN,1393,37.839333,-84.27001800000001,Kentucky
FL,MIAMI,OMEPRAZOLE,1372,27.664827000000002,-81.515754,Florida
MO,SAINT LOUIS,HYDROCODONE-ACETAMINOPHEN,1342,37.964253,-91.83183299999999,Missouri
TN,NASHVILLE,HYDROCODONE-ACETAMINOPHEN,1319,35.517491,-86.58044699999999,Tennessee
GA,ATLANTA,HYDROCODONE-ACETAMINOPHEN,1304,32.157435,-82.907123,Georgia
NC,CHARLOTTE,HYDROCODONE-ACETAMINOPHEN,1299,35.759572999999996,-79.0193,North Carolina
AL,BIRMINGHAM,HYDROCODONE-ACETAMINOPHEN,1268,32.318231,-86.902298,Alabama
OH,CINCINNATI,HYDROCODONE-ACETAMINOPHEN,1241,40.417287,-82.907123,Ohio
OK,OKLAHOMA CITY,HYDROCODONE-ACETAMINOPHEN,1229,35.007752,-97.092877,Oklahoma
WA,SEATTLE,LISINOPRIL,1173,47.751073999999996,-120.74013899999999,Washington
MI,DETROIT,HYDROCODONE-ACETAMINOPHEN,1090,44.314844,-85.602364,Michigan
WI,MILWAUKEE,HYDROCODONE-ACETAMINOPHEN,962,43.784440000000004,-88.787868,Wisconsin
NE,OMAHA,HYDROCODONE-ACETAMINOPHEN,912,41.492537,-99.901813,Nebraska
KS,WICHITA,HYDROCODONE-ACETAMINOPHEN,873,39.011902,-98.484246,Kansas
NM,ALBUQUERQUE,HYDROCODONE-ACETAMINOPHEN,871,34.97273,-105.03236299999999,New Mexico
DC,WASHINGTON,LISINOPRIL,854,38.905985,-77.03341800000001,District of Columbia
CO,DENVER,HYDROCODONE-ACETAMINOPHEN,827,39.550051,-105.782067,Colorado
MN,MINNEAPOLIS,LISINOPRIL,773,46.729553,-94.6859,Minnesota
LA,BATON ROUGE,HYDROCODONE-ACETAMINOPHEN,763,31.244822999999997,-92.14502399999999,Louisiana
UT,SALT LAKE CITY,HYDROCODONE-ACETAMINOPHEN,756,39.32098,-111.093731,Utah
VA,RICHMOND,HYDROCODONE-ACETAMINOPHEN,754,37.431573,-78.656894,Virginia
SC,GREENVILLE,HYDROCODONE-ACETAMINOPHEN,743,33.836081,-81.163725,South Carolina
AR,LITTLE ROCK,HYDROCODONE-ACETAMINOPHEN,670,35.20105,-91.83183299999999,Arkansas
MS,JACKSON,HYDROCODONE-ACETAMINOPHEN,670,32.354668,-89.398528,Mississippi
PR,SAN JUAN,GABAPENTIN,635,18.220833,-66.590149,Puerto Rico
ID,BOISE,HYDROCODONE-ACETAMINOPHEN,570,44.068202,-114.74204099999999,Idaho
HI,HONOLULU,LISINOPRIL,476,19.898682,-155.66585700000002,Hawaii
IA,DES MOINES,HYDROCODONE-ACETAMINOPHEN,450,41.878003,-93.097702,Iowa
SD,SIOUX FALLS,HYDROCODONE-ACETAMINOPHEN,384,43.969515,-99.901813,South Dakota
CT,NEW HAVEN,LISINOPRIL,373,41.603221000000005,-73.087749,Connecticut
WV,CHARLESTON,HYDROCODONE-ACETAMINOPHEN,369,38.597626,-80.454903,West Virginia
RI,PROVIDENCE,OMEPRAZOLE,357,41.580095,-71.477429,Rhode Island
MT,BILLINGS,HYDROCODONE-ACETAMINOPHEN,311,46.879682,-110.36256599999999,Montana
AK,ANCHORAGE,HYDROCODONE-ACETAMINOPHEN,295,63.588753000000004,-154.493062,Alaska
ND,FARGO,HYDROCODONE-ACETAMINOPHEN,279,47.551493,-101.002012,North Dakota
DE,WILMINGTON,LISINOPRIL,256,38.910832,-75.52767,Delaware
ME,PORTLAND,HYDROCODONE-ACETAMINOPHEN,222,45.253783,-69.44546899999999,Maine
NH,LEBANON,LISINOPRIL,194,43.193852,-71.572395,New Hampshire
NJ,NEWARK,AMLODIPINE BESYLATE,174,40.058324,-74.405661,New Jersey
WY,CASPER,HYDROCODONE-ACETAMINOPHEN,133,43.075967999999996,-107.29028400000001,Wyoming
VT,BURLINGTON,GABAPENTIN,101,44.558803000000005,-72.577841,Vermont
