state,total_drug_count,latitude,longitude,name
AL,416414,32.318231,-86.902298,Alabama
AK,28789,63.588753,-154.493062,Alaska
AZ,422552,34.048928,-111.093731,Arizona
AR,270034,35.20105,-91.831833,Arkansas
CA,2314491,36.778261,-119.417932,California
CO,310071,39.550051,-105.782067,Colorado
CT,285153,41.603221,-73.087749,Connecticut
DE,68643,38.910832,-75.52767,Delaware
DC,40964,38.905985,-77.033418,District of Columbia
FL,1611230,27.664827,-81.515754,Florida
GA,665123,32.157435,-82.907123,Georgia
HI,79295,19.898682,-155.665857,Hawaii
ID,112680,44.068202,-114.742041,Idaho
IL,866555,40.633125,-89.398528,Illinois
IN,536177,40.551217,-85.602364,Indiana
IA,287799,41.878003,-93.097702,Iowa
KS,245809,39.011902,-98.484246,Kansas
KY,451198,37.839333,-84.270018,Kentucky
LA,394524,31.244823,-92.145024,Louisiana
ME,138404,45.253783,-69.445469,Maine
MD,337502,39.045755,-76.641271,Maryland
MA,557193,42.407211,-71.382437,Massachusetts
MI,824210,44.314844,-85.602364,Michigan
MN,401258,46.729553,-94.6859,Minnesota
MS,269114,32.354668,-89.398528,Mississippi
MO,553249,37.964253,-91.831833,Missouri
MT,79659,46.879682,-110.362566,Montana
NE,166946,41.492537,-99.901813,Nebraska
NV,149874,38.80261,-116.419389,Nevada
NH,103139,43.193852,-71.572395,New Hampshire
NJ,650274,40.058324,-74.405661,New Jersey
NM,131194,34.97273,-105.032363,New Mexico
NY,1650337,43.299428,-74.217933,New York
NC,876296,35.759573,-79.0193,North Carolina
ND,66876,47.551493,-101.002012,North Dakota
OH,1001853,40.417287,-82.907123,Ohio
OK,290335,35.007752,-97.092877,Oklahoma
OR,317042,43.804133,-120.554201,Oregon
PA,1229100,41.203322,-77.194525,Pennsylvania
PR,340193,18.220833,-66.590149,Puerto Rico
RI,100820,41.580095,-71.477429,Rhode Island
SC,403874,33.836081,-81.163725,South Carolina
SD,75409,43.969515,-99.901813,South Dakota
TN,634761,35.517491,-86.580447,Tennessee
TX,1472194,31.968599,-99.901813,Texas
UT,137461,39.32098,-111.093731,Utah
VT,53720,44.558803,-72.577841,Vermont
VA,532042,37.431573,-78.656894,Virginia
WA,458140,47.751074,-120.740139,Washington
WV,205148,38.597626,-80.454903,West Virginia
WI,463181,43.78444,-88.787868,Wisconsin
WY,34780,43.075968,-107.290284,Wyoming
